time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2021-05-02,269.1,299.71,268.64,294.91,NaN,NaN,NaN,NaN,268.64,299.71,268.64,299.71,242.2874892,249.1043476,252.9654994,64.370813
2021-05-03,294.91,327.91,271.03,305.5,NaN,NaN,NaN,NaN,271.03,327.91,271.03,327.91,241.7119131,249.9500542,256.8603996,66.82326445
2021-05-04,305.43,360,300.98,356.43,NaN,NaN,NaN,NaN,300.98,360,300.98,360,242.6498429,251.6194224,259.7523196,75.54236026
2021-05-05,356.5,365.2,320,354.44,NaN,NaN,NaN,NaN,320,365.2,320,365.2,243.8117781,254.2219946,264.6368557,74.71610148
2021-05-06,354.52,372.88,333.55,345.25,NaN,NaN,NaN,NaN,333.55,372.88,333.55,372.88,244.7393336,256.3592453,271.6034846,70.86147044
2021-05-07,345.27,357,334.97,347.72,NaN,NaN,NaN,NaN,333.55,372.88,333.55,372.88,246.1674618,259.8362146,283.3807877,71.29018198
2021-05-08,347.75,389.65,334,388.3,NaN,NaN,NaN,NaN,333.55,372.88,333.55,372.88,248.1884263,264.7904378,295.2246301,77.22010478
2021-05-09,388.13,413.91,336.21,359.41,NaN,NaN,NaN,NaN,336.21,413.91,336.21,413.91,249.9677781,273.0028831,306.8227041,66.66344479
2021-05-10,359.35,379.87,345.33,378.16,NaN,NaN,NaN,NaN,345.33,379.87,345.33,379.87,252.5991028,281.7025227,314.6551633,69.57096499
2021-05-11,378.16,394.46,301,310.91,NaN,NaN,NaN,NaN,301,394.46,301,394.46,256.2045565,290.6415824,324.0891306,52.03972265
2021-05-12,310.9,336,291,318.41,NaN,NaN,NaN,NaN,291,336,291,336,261.9188214,297.5595096,334.2833045,53.44859333
2021-05-13,318.3,339.62,308.46,326.67,NaN,NaN,NaN,NaN,308.46,339.62,308.46,339.62,268.1250659,305.5926959,339.9466436,55.01589292
2021-05-14,326.52,332.01,296.52,300.18,NaN,NaN,NaN,NaN,308.46,339.62,308.46,339.62,274.6704454,314.2761089,341.5033149,49.28502044
2021-05-15,300.11,324.19,279.38,296.11,NaN,NaN,NaN,NaN,308.46,339.62,308.46,339.62,280.1561804,320.3165953,335.9026519,48.44995012
2021-05-16,296.22,296.76,261.37,281.6,NaN,NaN,NaN,NaN,261.37,296.76,261.37,296.76,286.4383973,323.7432709,333.5301215,45.49065688
2021-05-17,281.5,318.43,278.49,294.13,NaN,NaN,NaN,NaN,278.49,318.43,278.49,318.43,293.2554436,322.462862,329.6770972,48.420473
2021-05-18,294.13,300.49,145.26,186.65,NaN,NaN,NaN,NaN,145.26,300.49,145.26,300.49,298.5896403,322.6600043,324.0986778,32.35552963
2021-05-19,186.65,232.99,166.95,211.11,NaN,NaN,NaN,NaN,166.95,232.99,166.95,232.99,302.369668,321.6106287,315.0919422,37.4423248
2021-05-20,211.15,219.79,156.94,180.23,NaN,NaN,NaN,NaN,156.94,219.79,156.94,219.79,303.2258473,319.1324251,311.7655538,33.96932768
2021-05-21,180.33,184.82,161.88,169.48,NaN,NaN,NaN,NaN,156.94,219.79,156.94,219.79,304.826936,314.123997,293.987443,32.82776747
2021-05-22,169.47,176.51,117.58,142.72,NaN,NaN,NaN,NaN,156.94,219.79,156.94,219.79,305.5529409,312.1659974,275.1839544,30.11474502
2021-05-23,142.73,185.57,139.86,185.42,NaN,NaN,NaN,NaN,139.86,185.57,139.86,185.57,305.2630993,301.0046227,257.8201635,38.8053839
2021-05-24,185.56,194.89,167.41,184.09,NaN,NaN,NaN,NaN,167.41,194.89,167.41,194.89,303.2478609,288.3752949,240.9261308,38.64418622
2021-05-25,183.95,204.48,179.39,199.18,NaN,NaN,NaN,NaN,179.39,204.48,179.39,204.48,302.8795639,275.874008,222.1499047,41.60794481
2021-05-26,199.26,208.98,180.61,194.41,NaN,NaN,NaN,NaN,180.61,208.98,180.61,208.98,296.7253667,263.058507,210.2629237,40.93482272
